date,value
20181111,6.96886034513061E-05
20181112,8.77948209213522E-05
20181113,7.13468928422246E-05
20181114,4.41536063053568E-05
20181115,6.77557869089974E-05
20181116,5.05273860386189E-05
20181117,7.87375767419977E-05
20181118,0.000140578427818
20181119,6.25720033339694E-05
20181120,6.81388893560187E-05
20181121,0.000158217772351
20181122,5.51713688764721E-05
20181123,6.03353278106683E-05
20181124,0.000119306398807
20181125,7.37793848253368E-05
20181126,4.72565096023739E-05
20181127,4.87040914595127E-05
20181128,5.94652863958525E-05
20181129,6.7075033549149E-05
20181130,4.64311600023625E-05
20181201,6.14537158980965E-05
20181202,6.69201791214828E-05
20181202,6.83805073036792E-05
20181203,0.000111695669431
20181204,7.5153905797649E-05
20181205,4.27566544228308E-05
20181206,4.12266325348844E-05
20181207,0.000116360199172
20181208,3.57378225821953E-05
20181209,6.78472145385033E-05
20181210,7.30921852995048E-05
20181212,8.9105994751056E-05
20181213,0.000122026184245
20181214,9.66416046139784E-05
20181215,5.2622450311901E-05
20181216,7.35385132566937E-05
20181217,6.25628789958472E-05
20181218,8.69750666121641E-05
20181219,0.000160383693874
20181220,0.000145713724196
20181221,9.17672660652097E-05
20181222,8.14163166543711E-05
20181223,0.000126414187253
20181223,0.000112154778387
20181224,0.000131744402461
20181225,0.00010432173274
20181226,0.000163413850324
20181227,8.73171103497346E-05
20181228,6.62099531230827E-05
20181229,0.000102756930014
20181230,0.00016275515444
20181231,0.000108341668518
20190101,0.000179908108166
20190102,0.000218197796494
20190103,8.5661562123135E-05
20190104,0.000195132893702
20190105,0.000134474241009
20190106,7.59950178919486E-05
20190107,0.000224441545264
20190108,9.60928558999178E-05
20190109,8.91575496643781E-05
20190110,0.000105578674596
20190111,0.000352400676187
20190112,0.000516476158641
20190113,0.000165990286041
20190114,8.55571423203517E-05
20190115,0.000123637889822
20190116,0.000456999851899
20190117,0.000294280371496
20190118,0.000133622086094
20190119,0.000159111750477
20190120,0.000232785909126
20190121,8.23416907076883E-05
20190122,6.51271437250432E-05
20190123,0.000238453578805
20190124,0.000236365153934
20190124,0.000204224643918
20190125,0.000136566757015
20190126,7.73125662981124E-05
20190127,5.46908102415759E-05
20190128,9.11343078582714E-05
20190129,0.00012296854984
20190130,0.000194413491931
20190131,0.000161505987247
20190201,0.0002699578593
20190202,9.9760244835864E-05
20190203,9.07150918946546E-05
20190204,0.000148824785116
20190205,0.000269777265688
20190206,9.09798379455294E-05
20190207,6.79408769729068E-05
20190208,0.000118118094941
20190209,7.69838661653921E-05
20190209,6.94997385532284E-05
20190210,4.66939180772355E-05
20190211,0.000211551684238
20190212,0.000371153916007
20190213,0.000271633217732
20190214,6.22466439381241E-05
20190215,0.000221784083316
20190216,5.60822872779308E-05
20190217,4.76849533885985E-05
20190218,9.96217848016665E-05
20190219,0.000224147942297
20190220,0.000110079123474
20190220,2.57237060439018E-05
20190221,9.95150588166255E-05
20190222,5.718361239369E-05
20190223,5.9139414005122E-05
20190224,6.9306532461797E-05
20190225,0.000171968922475
20190226,5.5240886285901E-05
20190227,9.07038600089844E-05
20190228,5.78260964207481E-05
20190301,9.59521966675917E-05
20190302,0.000157513190061
20190303,9.30753214141497E-05
20190304,7.59329025944074E-05
20190305,5.13745388681335E-05
20190306,6.90033986836999E-05
20190307,9.77072585374116E-05
20190308,0.000114851049148
20190309,5.30029341700624E-05
20190310,8.04835805096305E-05
20190311,7.33597913668269E-05
20190312,6.84508359280683E-05
20190313,0.000120139457285
20190314,2.28766351938247E-05
20190315,7.18845833983758E-05
20190316,7.10205200153428E-05
20190317,6.97990793636754E-05
20190318,9.41506354138255E-05
20190319,5.98109386956844E-05
20190320,8.0321528404564E-05
20190321,6.12129381782299E-05
20190322,5.05371079329521E-05
20190323,4.76279980217923E-05
20190324,4.25376091152429E-05
20190325,5.41193543800285E-05
20190326,6.37400992003814E-05
20190327,4.66053402915443E-05
20190328,0.000104350856535
20190329,0.000110828364268
20190329,6.31901299736152E-05
20190330,0.000132876234905
20190331,5.85618014964792E-05
20190401,7.37118241083514E-05
20190402,0.000125577085112
20190403,7.65886972658336E-05
20190404,9.8039043876223E-05
20190405,0.000124619939388
20190406,0.000105023743552
20190407,0.000117134716776
20190408,0.000126875425671
20190409,0.000128551099736
20190409,9.99484271291763E-05
20190410,9.13238768736201E-05
20190411,8.99956587736851E-05
20190412,8.98115910016573E-05
20190413,5.79740707075498E-05
20190414,5.26481230432788E-05
20190414,4.73806661937166E-05
20190415,6.40546437352895E-05
20190416,5.47439609046863E-05
20190417,7.06499604427296E-05
20190418,0.000109925282498
20190419,6.68439141009002E-05
20190420,7.96224670232953E-05
20190421,6.48439390125212E-05
20190422,0.000105847075984
20190423,9.89069486712361E-05
20190424,8.55681220335619E-05
20190425,8.96950682195333E-05
20190426,6.42810902390323E-05
20190427,6.52080427890069E-05
20190428,5.97241583584558E-05
20190429,7.0826348955514E-05
20190430,0.000100791143874
20190430,9.10131633281707E-05
20190501,0.000113264876133
20190502,0.000109668922327
20190503,0.000144284783996
20190504,9.27664215366045E-05
20190505,7.25258258171379E-05
20190506,7.96938664279878E-05
20190507,5.82964873159086E-05
20190508,7.97920258699265E-05
20190509,8.64478314052457E-05
20190510,6.95773866027593E-05
20190511,8.3392895758152E-05
20190512,6.65826082695275E-05
20190513,0.000116333205785
20190514,0.000108106764701
20190515,5.2894503794244E-05
20190516,5.48049871462817E-05
20190517,6.41842957074735E-05
20190518,7.81872329990501E-05
20190519,0.000105246618789
20190520,8.51528098185857E-05
20190521,7.48883108966625E-05
20190522,1.96621665963903E-05
20190523,9.3696651527205E-05
20190524,3.11909579076208E-05
20190525,7.38567969464993E-05
20190526,5.65559603273868E-05
20190527,6.88648075223542E-05
20190527,6.45204418106004E-05
20190528,7.22876284271478E-05
20190529,8.72617534730794E-05
20190530,8.99534849893479E-05
20190531,9.73316214856554E-05
20190601,8.95282998681068E-05
20190602,9.60709527134895E-05
20190603,8.63277515315491E-05
20190604,9.14211623964056E-05
20190605,8.98647877211506E-05
20190606,0.000120330748982
20190607,0.000101514696144
20190608,9.62231719455161E-05
20190609,0.000102505631811
20190610,9.57417198353343E-05
20190611,5.15180516379828E-05
20190612,7.87006132304668E-05
20190613,8.20351269794628E-05
20190614,9.00498784656794E-05
20190615,7.67258439804906E-05
20190616,2.38170536855856E-05
20190617,7.67903559160633E-06
20190618,3.43545664994356E-05
20190619,0.000140422210097
20190620,0.000126471149579
20190621,0.000137815717608
20190622,9.25829517655074E-05
20190623,8.41535918880254E-05
20190624,7.80903818932446E-05
20190625,0.000106400001402
20190626,0.000107567966654
20190627,5.38509447387484E-05
20190628,4.98765387023106E-05
20190628,6.13394804531708E-05
20190629,6.04896673134395E-05
20190630,6.08940391200725E-05
20190701,9.52903954487926E-05
20190702,0.000110912128841
20190703,9.10246664465501E-05
20190703,6.22434890829026E-05
20190705,0.000110317709977
20190706,0.00012965643762
20190707,8.94048150528121E-05
20190708,0.000130913661499
20190709,5.03266113810241E-05
20190710,4.93460370657535E-05
20190711,5.99628464052719E-05
20190712,3.67368168584751E-05
20190713,3.36690209223888E-05
20190714,5.30067190993577E-05
20190716,0.000122081560011
20190717,0.000123537338848
20190718,6.73568722876635E-05
20190719,0.000108011006828
20190719,7.09307000592902E-05
20190720,0.000166273694866
20190721,6.73321786747183E-05
20190722,7.60512410011966E-05
20190723,0.000103995242245
20190724,0.000122808536666
20190725,0.000131722725928
20190726,0.000132034059431
20190727,0.000101412018842
20190728,4.45873519384312E-05
20190729,2.81231017045987E-05
20190730,4.82476223260164E-05
20190730,3.03186352539341E-05
20190731,5.18882822733922E-05
20190801,6.09388383470963E-05
20190802,0.000139967627114
20190803,0.000103390472941
20190804,9.26651090623871E-05
20190804,7.23905615367979E-05
20190805,8.98829446389125E-05
20190806,0.000138871495922
20190807,7.34294299036264E-05
20190808,8.22155716571402E-05
20190809,2.92922649532556E-05
20190810,2.20975578905871E-05
20190811,3.75696085393428E-05
20190812,3.41473354932826E-05
20190813,4.75566800034374E-05
20190814,9.76751137885355E-05
20190815,4.05053327244425E-05
20190815,5.12944418005645E-05
20190816,3.24490002965853E-05
20190817,4.62772441096603E-05
20190818,3.75934072177518E-05
20190819,5.91066021185654E-05
20190820,4.87208249978721E-05
